# file_version: 0.2.0
	A_A	A_T	A_C	A_G	A_-	T_A	T_T	T_C	T_G	T_-	C_A	C_T	C_C	C_G	C_-	G_A	G_T	G_C	G_G	G_-	-_A	-_T	-_C	-_G	-_-
-1	0	0	0	0	8999	0	0	0	0	7112	0	0	0	0	11317	0	0	0	0	11289	0	0	0	0	6107251
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	426	10	18	42	0	23	340	26	11	0	62	34	372	40	0	81	22	28	380	0	50	21	30	26	0
3	1409	36	85	163	0	35	1263	90	49	0	117	87	1477	127	0	224	48	118	1691	0	164	95	115	145	0
4	3406	72	184	338	0	87	3048	144	73	0	213	181	3645	209	0	484	118	182	4025	0	349	231	260	341	0
5	6053	75	227	496	0	105	5323	209	104	0	297	234	6258	281	0	709	115	261	7043	0	500	288	367	505	0
6	8591	85	261	611	0	98	7093	215	106	0	303	252	8927	356	0	870	96	275	9851	0	656	346	455	589	0
7	11716	87	297	714	0	103	9555	227	94	0	316	263	12075	322	0	992	105	373	13710	0	653	365	451	643	0
8	12193	76	253	748	0	84	9965	206	86	0	276	255	12926	287	0	1002	95	316	14210	0	609	340	431	571	0
9	11699	56	223	657	0	56	9736	188	62	0	230	201	12742	258	0	894	78	276	13925	0	571	307	394	518	0
10	11142	68	200	532	0	52	9166	163	54	0	183	166	11856	220	0	771	56	239	13184	0	494	305	328	442	0
11	10884	39	152	418	0	34	9128	113	37	0	139	158	11887	169	0	601	57	200	12733	0	454	264	300	400	0
12	10689	45	113	385	0	43	9039	119	23	0	132	126	11849	143	0	541	34	172	12313	0	398	236	306	360	0
13	10550	30	96	291	0	33	9135	87	22	0	107	127	11604	128	0	459	34	130	12436	0	323	218	239	324	0
14	10593	39	63	264	0	26	9015	73	13	0	92	127	11872	103	0	418	35	135	12676	0	310	190	237	299	0
15	10512	20	84	219	0	17	9192	58	16	0	71	99	12312	71	0	359	31	107	12539	0	257	219	201	271	0
16	10780	34	65	221	0	21	9392	54	19	0	59	88	12563	66	0	310	29	86	13057	0	232	180	211	202	0
17	10843	26	59	169	0	17	9289	63	16	0	41	61	12766	57	0	281	17	79	13102	0	227	153	181	195	0
18	11027	13	45	148	0	17	9761	61	16	0	54	65	12987	63	0	220	18	78	13440	0	210	132	164	199	0
19	11470	15	45	130	0	11	10142	54	8	0	47	45	13721	46	0	215	13	54	14029	0	177	142	137	192	0
20	11936	14	36	118	0	5	10610	39	20	0	31	47	14134	38	0	195	18	44	14509	0	154	141	126	167	0
21	12248	10	30	114	0	7	10970	27	10	0	33	38	14727	37	0	176	16	46	15021	0	133	123	157	158	0
22	12759	13	25	88	0	9	11309	26	6	0	28	45	15618	36	0	152	16	36	15891	0	131	145	131	142	0
23	13413	7	23	88	0	12	11814	25	5	0	27	25	16359	35	0	155	9	33	16541	0	128	143	149	136	0
24	14338	7	19	75	0	8	13022	19	4	0	29	26	17435	23	0	127	4	27	17893	0	104	125	130	116	0
25	15154	7	23	66	0	4	13434	16	5	0	16	26	18684	21	0	121	8	30	19223	0	98	117	156	105	0
26	16154	4	13	52	0	5	14733	12	2	0	13	28	20212	14	0	92	7	25	20598	0	101	140	137	101	0
27	17541	6	8	48	0	1	15844	9	2	0	14	22	21975	15	0	108	4	23	22447	0	112	140	106	105	0
28	19297	2	11	41	0	3	17711	5	5	0	14	15	24315	17	0	75	2	21	24780	0	119	113	124	98	0
29	21224	1	15	38	0	3	19865	16	0	0	13	23	27098	10	0	77	4	16	27354	0	99	155	132	83	0
30	24032	4	9	21	0	3	22599	11	5	0	15	15	30276	13	0	65	1	10	30460	0	101	123	142	116	0
31	27448	1	5	32	0	0	26257	11	0	0	5	15	33926	11	0	47	2	7	34298	0	94	136	169	109	0
32	31166	3	3	27	0	1	30015	5	0	0	5	10	38340	7	0	44	7	5	38796	0	108	145	167	109	0
33	35026	2	4	17	0	2	34652	8	1	0	8	9	42458	6	0	46	2	9	42678	0	115	128	127	111	0
34	39313	2	6	13	0	0	39155	7	0	0	8	7	47036	7	0	53	0	4	47352	0	117	160	206	116	0
35	43784	4	5	15	0	0	43501	4	2	0	5	6	51506	8	0	26	3	7	52394	0	113	167	155	111	0
36	48503	1	3	7	0	2	48846	5	1	0	9	8	56565	3	0	28	1	6	56832	0	125	145	155	106	0
37	53503	1	3	10	0	1	55312	5	0	0	5	3	62160	7	0	37	1	2	62695	0	121	189	121	102	0
38	58885	0	4	9	0	0	61504	3	1	0	7	3	67806	2	0	22	4	6	67856	0	126	173	144	124	0
39	64020	0	4	7	0	3	68218	4	1	0	3	5	73282	4	0	22	1	1	72869	0	135	170	142	105	0
40	69864	0	1	7	0	1	74745	2	0	0	1	3	79278	0	0	17	1	3	77279	0	124	183	93	96	0
41	612803	4	3	17	0	0	649004	6	3	0	9	9	673360	3	0	64	3	7	650025	0	684	891	599	538	0
